segment,country,product,discount_band,units_sold,manufacturing_price,sale_price,gross_sales,discounts,sales,cogs,profit,date,month_number,month_name,year,año,mes,mes_nombre,trimestre,margen_bruto_pct,tasa_descuento_pct,ratio_cogs_ventas,rentabilidad_cat
Enterprise,Mexico, Velo , Low ," $2,145.00 ",120.0,125.0,268125.0,5362.5,262762.5,257400.0,5362.5,2013-01-10,10, October ,2013,2013,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Channel Partners,France, Velo , Low ," $1,055.00 ",120.0,12.0,12660.0,253.2,12406.8,3165.0,9241.8,2014-01-12,12, December ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Government,Mexico, Velo , Low , $544.00 ,120.0,20.0,10880.0,217.6,10662.4,5440.0,5222.4,2013-01-12,12, December ,2013,2013,1,Jan,Q1,48.98,2.0,51.02,🟢 Alta (>30%)
Channel Partners,Mexico, Velo , Low ," $1,084.00 ",120.0,12.0,13008.0,260.16,12747.84,3252.0,9495.84,2014-01-12,12, December ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Enterprise,Mexico, VTT , Low , $662.00 ,250.0,125.0,82750.0,1655.0,81095.0,79440.0,1655.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Small Business,Germany, VTT , Low , $214.00 ,250.0,300.0,64200.0,1284.0,62916.0,53500.0,9416.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Government,Germany, VTT , Low ," $2,877.00 ",250.0,350.0,1006950.0,20139.0,986811.0,748020.0,238791.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Enterprise,Canada, VTT , Low ," $2,729.00 ",250.0,125.0,341125.0,6822.5,334302.5,327480.0,6822.5,2014-01-12,12, December ,2014,2014,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Government,United States of America, VTT , Low , $266.00 ,250.0,350.0,93100.0,1862.0,91238.0,69160.0,22078.0,2013-01-12,12, December ,2013,2013,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Government,Mexico, VTT , Low ," $1,940.00 ",250.0,350.0,679000.0,13580.0,665420.0,504400.0,161020.0,2013-01-12,12, December ,2013,2013,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Small Business,Germany, Amarilla , Low , $259.00 ,260.0,300.0,77700.0,1554.0,76146.0,64750.0,11396.0,2014-01-03,3, March ,2014,2014,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Small Business,Mexico, Amarilla , Low ," $1,101.00 ",260.0,300.0,330300.0,6606.0,323694.0,275250.0,48444.0,2014-01-03,3, March ,2014,2014,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Enterprise,Germany, Amarilla , Low ," $2,276.00 ",260.0,125.0,284500.0,5690.0,278810.0,273120.0,5690.0,2014-01-05,5, May ,2014,2014,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Government,Germany, Amarilla , Low ," $2,966.00 ",260.0,350.0,1038100.0,20762.0,1017338.0,771160.0,246178.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Government,United States of America, Amarilla , Low ," $1,236.00 ",260.0,20.0,24720.0,494.4,24225.6,12360.0,11865.6,2014-01-11,11, November ,2014,2014,1,Jan,Q1,48.98,2.0,51.02,🟢 Alta (>30%)
Government,France, Amarilla , Low , $941.00 ,260.0,20.0,18820.0,376.4,18443.6,9410.0,9033.6,2014-01-11,11, November ,2014,2014,1,Jan,Q1,48.98,2.0,51.02,🟢 Alta (>30%)
Small Business,Canada, Amarilla , Low ," $1,916.00 ",260.0,300.0,574800.0,11496.0,563304.0,479000.0,84304.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Enterprise,France, Carretera , Low ," $4,243.50 ",3.0,125.0,530437.5,15913.13,514524.38,509220.0,5304.38,2014-01-04,4, April ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Government,Germany, Carretera , Low ," $2,580.00 ",3.0,20.0,51600.0,1548.0,50052.0,25800.0,24252.0,2014-01-04,4, April ,2014,2014,1,Jan,Q1,48.45,3.0,51.55,🟢 Alta (>30%)
Small Business,Germany, Carretera , Low , $689.00 ,3.0,300.0,206700.0,6201.0,200499.0,172250.0,28249.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,14.09,3.0,85.91,🟠 Baja (0-15%)
Channel Partners,United States of America, Carretera , Low ," $1,947.00 ",3.0,12.0,23364.0,700.92,22663.08,5841.0,16822.08,2014-01-09,9, September ,2014,2014,1,Jan,Q1,74.23,3.0,25.77,🟢 Alta (>30%)
Channel Partners,Canada, Carretera , Low , $908.00 ,3.0,12.0,10896.0,326.88,10569.12,2724.0,7845.12,2013-01-12,12, December ,2013,2013,1,Jan,Q1,74.23,3.0,25.77,🟢 Alta (>30%)
Government,Germany, Montana , Low ," $1,958.00 ",5.0,7.0,13706.0,411.18,13294.82,9790.0,3504.82,2014-01-02,2, February ,2014,2014,1,Jan,Q1,26.36,3.0,73.64,🟡 Media (15-30%)
Channel Partners,France, Montana , Low ," $1,901.00 ",5.0,12.0,22812.0,684.36,22127.64,5703.0,16424.64,2014-01-06,6, June ,2014,2014,1,Jan,Q1,74.23,3.0,25.77,🟢 Alta (>30%)
Government,France, Montana , Low , $544.00 ,5.0,7.0,3808.0,114.24,3693.76,2720.0,973.76,2014-01-09,9, September ,2014,2014,1,Jan,Q1,26.36,3.0,73.64,🟡 Media (15-30%)
Government,Germany, Montana , Low ," $1,797.00 ",5.0,350.0,628950.0,18868.5,610081.5,467220.0,142861.5,2013-01-09,9, September ,2013,2013,1,Jan,Q1,23.42,3.0,76.58,🟡 Media (15-30%)
Enterprise,France, Montana , Low ," $1,287.00 ",5.0,125.0,160875.0,4826.25,156048.75,154440.0,1608.75,2014-01-12,12, December ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Enterprise,Germany, Montana , Low ," $1,706.00 ",5.0,125.0,213250.0,6397.5,206852.5,204720.0,2132.5,2014-01-12,12, December ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Small Business,France, Paseo , Low ," $2,434.50 ",10.0,300.0,730350.0,21910.5,708439.5,608625.0,99814.5,2014-01-01,1, January ,2014,2014,1,Jan,Q1,14.09,3.0,85.91,🟠 Baja (0-15%)
Enterprise,Canada, Paseo , Low ," $1,774.00 ",10.0,125.0,221750.0,6652.5,215097.5,212880.0,2217.5,2014-01-03,3, March ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Channel Partners,France, Paseo , Low ," $1,901.00 ",10.0,12.0,22812.0,684.36,22127.64,5703.0,16424.64,2014-01-06,6, June ,2014,2014,1,Jan,Q1,74.23,3.0,25.77,🟢 Alta (>30%)
Small Business,Germany, Paseo , Low , $689.00 ,10.0,300.0,206700.0,6201.0,200499.0,172250.0,28249.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,14.09,3.0,85.91,🟠 Baja (0-15%)
Enterprise,Germany, Paseo , Low ," $1,570.00 ",10.0,125.0,196250.0,5887.5,190362.5,188400.0,1962.5,2014-01-06,6, June ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Channel Partners,United States of America, Paseo , Low ," $1,369.50 ",10.0,12.0,16434.0,493.02,15940.98,4108.5,11832.48,2014-01-07,7, July ,2014,2014,1,Jan,Q1,74.23,3.0,25.77,🟢 Alta (>30%)
Enterprise,Canada, Paseo , Low ," $2,009.00 ",10.0,125.0,251125.0,7533.75,243591.25,241080.0,2511.25,2014-01-10,10, October ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Midmarket,Germany, Paseo , Low ," $1,945.00 ",10.0,15.0,29175.0,875.25,28299.75,19450.0,8849.75,2013-01-10,10, October ,2013,2013,1,Jan,Q1,31.27,3.0,68.73,🟢 Alta (>30%)
Enterprise,France, Paseo , Low ," $1,287.00 ",10.0,125.0,160875.0,4826.25,156048.75,154440.0,1608.75,2014-01-12,12, December ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Enterprise,Germany, Paseo , Low ," $1,706.00 ",10.0,125.0,213250.0,6397.5,206852.5,204720.0,2132.5,2014-01-12,12, December ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Enterprise,Canada, Velo , Low ," $2,009.00 ",120.0,125.0,251125.0,7533.75,243591.25,241080.0,2511.25,2014-01-10,10, October ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Small Business,United States of America, VTT , Low ," $2,844.00 ",250.0,300.0,853200.0,25596.0,827604.0,711000.0,116604.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,14.09,3.0,85.91,🟠 Baja (0-15%)
Channel Partners,Mexico, VTT , Low ," $1,916.00 ",250.0,12.0,22992.0,689.76,22302.24,5748.0,16554.24,2014-01-04,4, April ,2014,2014,1,Jan,Q1,74.23,3.0,25.77,🟢 Alta (>30%)
Enterprise,Germany, VTT , Low ," $1,570.00 ",250.0,125.0,196250.0,5887.5,190362.5,188400.0,1962.5,2014-01-06,6, June ,2014,2014,1,Jan,Q1,1.03,3.0,98.97,🟠 Baja (0-15%)
Small Business,Canada, VTT , Low ," $1,874.00 ",250.0,300.0,562200.0,16866.0,545334.0,468500.0,76834.0,2014-01-08,8, August ,2014,2014,1,Jan,Q1,14.09,3.0,85.91,🟠 Baja (0-15%)
Government,Mexico, VTT , Low ," $1,642.00 ",250.0,350.0,574700.0,17241.0,557459.0,426920.0,130539.0,2014-01-08,8, August ,2014,2014,1,Jan,Q1,23.42,3.0,76.58,🟡 Media (15-30%)
Midmarket,Germany, VTT , Low ," $1,945.00 ",250.0,15.0,29175.0,875.25,28299.75,19450.0,8849.75,2013-01-10,10, October ,2013,2013,1,Jan,Q1,31.27,3.0,68.73,🟢 Alta (>30%)
Government,Canada, Carretera , Low , $831.00 ,3.0,20.0,16620.0,498.6,16121.4,8310.0,7811.4,2014-01-05,5, May ,2014,2014,1,Jan,Q1,48.45,3.0,51.55,🟢 Alta (>30%)
Government,Mexico, Paseo , Low ," $1,760.00 ",10.0,7.0,12320.0,369.6,11950.4,8800.0,3150.4,2013-01-09,9, September ,2013,2013,1,Jan,Q1,26.36,3.0,73.64,🟡 Media (15-30%)
Government,Canada, Velo , Low ," $3,850.50 ",120.0,20.0,77010.0,2310.3,74699.7,38505.0,36194.7,2014-01-04,4, April ,2014,2014,1,Jan,Q1,48.45,3.0,51.55,🟢 Alta (>30%)
Channel Partners,Germany, VTT , Low ," $2,479.00 ",250.0,12.0,29748.0,892.44,28855.56,7437.0,21418.56,2014-01-01,1, January ,2014,2014,1,Jan,Q1,74.23,3.0,25.77,🟢 Alta (>30%)
Midmarket,Mexico, Montana , Low ," $2,031.00 ",5.0,15.0,30465.0,1218.6,29246.4,20310.0,8936.4,2014-01-10,10, October ,2014,2014,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Midmarket,Mexico, Paseo , Low ," $2,031.00 ",10.0,15.0,30465.0,1218.6,29246.4,20310.0,8936.4,2014-01-10,10, October ,2014,2014,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Midmarket,France, Paseo , Low ," $2,261.00 ",10.0,15.0,33915.0,1356.6,32558.4,22610.0,9948.4,2013-01-12,12, December ,2013,2013,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Government,United States of America, Velo , Low , $736.00 ,120.0,20.0,14720.0,588.8,14131.2,7360.0,6771.2,2013-01-09,9, September ,2013,2013,1,Jan,Q1,47.92,4.0,52.08,🟢 Alta (>30%)
Government,Canada, Carretera , Low ," $2,851.00 ",3.0,7.0,19957.0,798.28,19158.72,14255.0,4903.72,2013-01-10,10, October ,2013,2013,1,Jan,Q1,25.6,4.0,74.4,🟡 Media (15-30%)
Small Business,Germany, Carretera , Low ," $2,021.00 ",3.0,300.0,606300.0,24252.0,582048.0,505250.0,76798.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,13.19,4.0,86.81,🟠 Baja (0-15%)
Government,United States of America, Carretera , Low , $274.00 ,3.0,350.0,95900.0,3836.0,92064.0,71240.0,20824.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Midmarket,Canada, Montana , Low ," $1,967.00 ",5.0,15.0,29505.0,1180.2,28324.8,19670.0,8654.8,2014-01-03,3, March ,2014,2014,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Small Business,Germany, Montana , Low ," $1,859.00 ",5.0,300.0,557700.0,22308.0,535392.0,464750.0,70642.0,2014-01-08,8, August ,2014,2014,1,Jan,Q1,13.19,4.0,86.81,🟠 Baja (0-15%)
Government,Canada, Montana , Low ," $2,851.00 ",5.0,7.0,19957.0,798.28,19158.72,14255.0,4903.72,2013-01-10,10, October ,2013,2013,1,Jan,Q1,25.6,4.0,74.4,🟡 Media (15-30%)
Small Business,Germany, Montana , Low ," $2,021.00 ",5.0,300.0,606300.0,24252.0,582048.0,505250.0,76798.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,13.19,4.0,86.81,🟠 Baja (0-15%)
Enterprise,Mexico, Montana , Low ," $1,138.00 ",5.0,125.0,142250.0,5690.0,136560.0,136560.0,,2014-01-12,12, December ,2014,2014,1,Jan,Q1,,4.0,100.0,Sin datos
Government,Canada, Paseo , Low ," $4,251.00 ",10.0,7.0,29757.0,1190.28,28566.72,21255.0,7311.72,2014-01-01,1, January ,2014,2014,1,Jan,Q1,25.6,4.0,74.4,🟡 Media (15-30%)
Enterprise,Germany, Paseo , Low , $795.00 ,10.0,125.0,99375.0,3975.0,95400.0,95400.0,,2014-01-03,3, March ,2014,2014,1,Jan,Q1,,4.0,100.0,Sin datos
Small Business,Germany, Paseo , Low ," $1,414.50 ",10.0,300.0,424350.0,16974.0,407376.0,353625.0,53751.0,2014-01-04,4, April ,2014,2014,1,Jan,Q1,13.19,4.0,86.81,🟠 Baja (0-15%)
Small Business,United States of America, Paseo , Low ," $2,918.00 ",10.0,300.0,875400.0,35016.0,840384.0,729500.0,110884.0,2014-01-05,5, May ,2014,2014,1,Jan,Q1,13.19,4.0,86.81,🟠 Baja (0-15%)
Government,United States of America, Paseo , Low ," $3,450.00 ",10.0,350.0,1207500.0,48300.0,1159200.0,897000.0,262200.0,2014-01-07,7, July ,2014,2014,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Enterprise,France, Paseo , Low ," $2,988.00 ",10.0,125.0,373500.0,14940.0,358560.0,358560.0,,2014-01-07,7, July ,2014,2014,1,Jan,Q1,,4.0,100.0,Sin datos
Midmarket,Canada, Paseo , Low , $218.00 ,10.0,15.0,3270.0,130.8,3139.2,2180.0,959.2,2014-01-09,9, September ,2014,2014,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Government,Canada, Paseo , Low ," $2,074.00 ",10.0,20.0,41480.0,1659.2,39820.8,20740.0,19080.8,2014-01-09,9, September ,2014,2014,1,Jan,Q1,47.92,4.0,52.08,🟢 Alta (>30%)
Government,United States of America, Paseo , Low ," $1,056.00 ",10.0,20.0,21120.0,844.8,20275.2,10560.0,9715.2,2014-01-09,9, September ,2014,2014,1,Jan,Q1,47.92,4.0,52.08,🟢 Alta (>30%)
Midmarket,United States of America, Paseo , Low , $671.00 ,10.0,15.0,10065.0,402.6,9662.4,6710.0,2952.4,2013-01-10,10, October ,2013,2013,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Midmarket,Mexico, Paseo , Low ," $1,514.00 ",10.0,15.0,22710.0,908.4,21801.6,15140.0,6661.6,2013-01-10,10, October ,2013,2013,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Government,United States of America, Paseo , Low , $274.00 ,10.0,350.0,95900.0,3836.0,92064.0,71240.0,20824.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Enterprise,Mexico, Paseo , Low ," $1,138.00 ",10.0,125.0,142250.0,5690.0,136560.0,136560.0,,2014-01-12,12, December ,2014,2014,1,Jan,Q1,,4.0,100.0,Sin datos
Channel Partners,United States of America, Velo , Low ," $1,465.00 ",120.0,12.0,17580.0,703.2,16876.8,4395.0,12481.8,2014-01-03,3, March ,2014,2014,1,Jan,Q1,73.96,4.0,26.04,🟢 Alta (>30%)
Government,Canada, Velo , Low ," $2,646.00 ",120.0,20.0,52920.0,2116.8,50803.2,26460.0,24343.2,2013-01-09,9, September ,2013,2013,1,Jan,Q1,47.92,4.0,52.08,🟢 Alta (>30%)
Government,France, Velo , Low ," $2,177.00 ",120.0,350.0,761950.0,30478.0,731472.0,566020.0,165452.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Channel Partners,France, VTT , Low , $866.00 ,250.0,12.0,10392.0,415.68,9976.32,2598.0,7378.32,2014-01-05,5, May ,2014,2014,1,Jan,Q1,73.96,4.0,26.04,🟢 Alta (>30%)
Government,United States of America, VTT , Low , $349.00 ,250.0,350.0,122150.0,4886.0,117264.0,90740.0,26524.0,2013-01-09,9, September ,2013,2013,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Government,France, VTT , Low ," $2,177.00 ",250.0,350.0,761950.0,30478.0,731472.0,566020.0,165452.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Midmarket,Mexico, VTT , Low ," $1,514.00 ",250.0,15.0,22710.0,908.4,21801.6,15140.0,6661.6,2013-01-10,10, October ,2013,2013,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Government,Mexico, Amarilla , Low ," $1,865.00 ",260.0,350.0,652750.0,26110.0,626640.0,484900.0,141740.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Enterprise,Mexico, Amarilla , Low ," $1,074.00 ",260.0,125.0,134250.0,5370.0,128880.0,128880.0,,2014-01-04,4, April ,2014,2014,1,Jan,Q1,,4.0,100.0,Sin datos
Government,Germany, Amarilla , Low ," $1,907.00 ",260.0,350.0,667450.0,26698.0,640752.0,495820.0,144932.0,2014-01-09,9, September ,2014,2014,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Midmarket,United States of America, Amarilla , Low , $671.00 ,260.0,15.0,10065.0,402.6,9662.4,6710.0,2952.4,2013-01-10,10, October ,2013,2013,1,Jan,Q1,30.56,4.0,69.44,🟢 Alta (>30%)
Government,Canada, Amarilla , Low ," $1,778.00 ",260.0,350.0,622300.0,24892.0,597408.0,462280.0,135128.0,2013-01-12,12, December ,2013,2013,1,Jan,Q1,22.62,4.0,77.38,🟡 Media (15-30%)
Government,Germany, Montana , Medium ," $1,159.00 ",5.0,7.0,8113.0,405.65,7707.35,5795.0,1912.35,2013-01-10,10, October ,2013,2013,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Government,Germany, Paseo , Medium ," $1,372.00 ",10.0,7.0,9604.0,480.2,9123.8,6860.0,2263.8,2014-01-01,1, January ,2014,2014,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Government,Canada, Paseo , Medium ," $2,349.00 ",10.0,7.0,16443.0,822.15,15620.85,11745.0,3875.85,2013-01-09,9, September ,2013,2013,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Government,Mexico, Paseo , Medium ," $2,689.00 ",10.0,7.0,18823.0,941.15,17881.85,13445.0,4436.85,2014-01-10,10, October ,2014,2014,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Channel Partners,Canada, Paseo , Medium ," $2,431.00 ",10.0,12.0,29172.0,1458.6,27713.4,7293.0,20420.4,2014-01-12,12, December ,2014,2014,1,Jan,Q1,73.68,5.0,26.32,🟢 Alta (>30%)
Channel Partners,Canada, Velo , Medium ," $2,431.00 ",120.0,12.0,29172.0,1458.6,27713.4,7293.0,20420.4,2014-01-12,12, December ,2014,2014,1,Jan,Q1,73.68,5.0,26.32,🟢 Alta (>30%)
Government,Mexico, VTT , Medium ," $2,689.00 ",250.0,7.0,18823.0,941.15,17881.85,13445.0,4436.85,2014-01-10,10, October ,2014,2014,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Government,Mexico, Amarilla , Medium ," $1,683.00 ",260.0,7.0,11781.0,589.05,11191.95,8415.0,2776.95,2014-01-07,7, July ,2014,2014,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Channel Partners,Mexico, Amarilla , Medium ," $1,123.00 ",260.0,12.0,13476.0,673.8,12802.2,3369.0,9433.2,2014-01-08,8, August ,2014,2014,1,Jan,Q1,73.68,5.0,26.32,🟢 Alta (>30%)
Government,Germany, Amarilla , Medium ," $1,159.00 ",260.0,7.0,8113.0,405.65,7707.35,5795.0,1912.35,2013-01-10,10, October ,2013,2013,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Channel Partners,France, Carretera , Medium ," $1,865.00 ",3.0,12.0,22380.0,1119.0,21261.0,5595.0,15666.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,73.68,5.0,26.32,🟢 Alta (>30%)
Channel Partners,Germany, Carretera , Medium ," $1,116.00 ",3.0,12.0,13392.0,669.6,12722.4,3348.0,9374.4,2014-01-02,2, February ,2014,2014,1,Jan,Q1,73.68,5.0,26.32,🟢 Alta (>30%)
Government,France, Carretera , Medium ," $1,563.00 ",3.0,20.0,31260.0,1563.0,29697.0,15630.0,14067.0,2014-01-05,5, May ,2014,2014,1,Jan,Q1,47.37,5.0,52.63,🟢 Alta (>30%)
Small Business,United States of America, Carretera , Medium , $991.00 ,3.0,300.0,297300.0,14865.0,282435.0,247750.0,34685.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,12.28,5.0,87.72,🟠 Baja (0-15%)
Government,Germany, Carretera , Medium ," $1,016.00 ",3.0,7.0,7112.0,355.6,6756.4,5080.0,1676.4,2013-01-11,11, November ,2013,2013,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Midmarket,Mexico, Carretera , Medium ," $2,791.00 ",3.0,15.0,41865.0,2093.25,39771.75,27910.0,11861.75,2014-01-11,11, November ,2014,2014,1,Jan,Q1,29.82,5.0,70.18,🟡 Media (15-30%)
Government,United States of America, Carretera , Medium , $570.00 ,3.0,7.0,3990.0,199.5,3790.5,2850.0,940.5,2014-01-12,12, December ,2014,2014,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Government,France, Carretera , Medium ," $2,487.00 ",3.0,7.0,17409.0,870.45,16538.55,12435.0,4103.55,2014-01-12,12, December ,2014,2014,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Government,France, Montana , Medium ," $1,384.50 ",5.0,350.0,484575.0,24228.75,460346.25,359970.0,100376.25,2014-01-01,1, January ,2014,2014,1,Jan,Q1,21.8,5.0,78.2,🟡 Media (15-30%)
Enterprise,United States of America, Montana , Medium ," $3,627.00 ",5.0,125.0,453375.0,22668.75,430706.25,435240.0,-4533.75,2014-01-07,7, July ,2014,2014,1,Jan,Q1,-1.05,5.0,101.05,🔴 Negativa (<0%)
Government,Mexico, Montana , Medium , $720.00 ,5.0,350.0,252000.0,12600.0,239400.0,187200.0,52200.0,2013-01-09,9, September ,2013,2013,1,Jan,Q1,21.8,5.0,78.2,🟡 Media (15-30%)
Channel Partners,Germany, Montana , Medium ," $2,342.00 ",5.0,12.0,28104.0,1405.2,26698.8,7026.0,19672.8,2014-01-11,11, November ,2014,2014,1,Jan,Q1,73.68,5.0,26.32,🟢 Alta (>30%)
Small Business,Mexico, Montana , Medium ," $1,100.00 ",5.0,300.0,330000.0,16500.0,313500.0,275000.0,38500.0,2013-01-12,12, December ,2013,2013,1,Jan,Q1,12.28,5.0,87.72,🟠 Baja (0-15%)
Government,France, Paseo , Medium ," $1,303.00 ",10.0,20.0,26060.0,1303.0,24757.0,13030.0,11727.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,47.37,5.0,52.63,🟢 Alta (>30%)
Enterprise,United States of America, Paseo , Medium ," $2,992.00 ",10.0,125.0,374000.0,18700.0,355300.0,359040.0,-3740.0,2014-01-03,3, March ,2014,2014,1,Jan,Q1,-1.05,5.0,101.05,🔴 Negativa (<0%)
Enterprise,France, Paseo , Medium ," $2,385.00 ",10.0,125.0,298125.0,14906.25,283218.75,286200.0,-2981.25,2014-01-03,3, March ,2014,2014,1,Jan,Q1,-1.05,5.0,101.05,🔴 Negativa (<0%)
Small Business,Mexico, Paseo , Medium ," $1,607.00 ",10.0,300.0,482100.0,24105.0,457995.0,401750.0,56245.0,2014-01-04,4, April ,2014,2014,1,Jan,Q1,12.28,5.0,87.72,🟠 Baja (0-15%)
Government,United States of America, Paseo , Medium ," $2,327.00 ",10.0,7.0,16289.0,814.45,15474.55,11635.0,3839.55,2014-01-05,5, May ,2014,2014,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
Small Business,United States of America, Paseo , Medium , $991.00 ,10.0,300.0,297300.0,14865.0,282435.0,247750.0,34685.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,12.28,5.0,87.72,🟠 Baja (0-15%)
Government,United States of America, Paseo , Medium , $602.00 ,10.0,350.0,210700.0,10535.0,200165.0,156520.0,43645.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,21.8,5.0,78.2,🟡 Media (15-30%)
Midmarket,France, Paseo , Medium ," $2,620.00 ",10.0,15.0,39300.0,1965.0,37335.0,26200.0,11135.0,2014-01-09,9, September ,2014,2014,1,Jan,Q1,29.82,5.0,70.18,🟡 Media (15-30%)
Government,Canada, Paseo , Medium ," $1,228.00 ",10.0,350.0,429800.0,21490.0,408310.0,319280.0,89030.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,21.8,5.0,78.2,🟡 Media (15-30%)
Government,Canada, Paseo , Medium ," $1,389.00 ",10.0,20.0,27780.0,1389.0,26391.0,13890.0,12501.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,47.37,5.0,52.63,🟢 Alta (>30%)
Enterprise,United States of America, Paseo , Medium , $861.00 ,10.0,125.0,107625.0,5381.25,102243.75,103320.0,-1076.25,2014-01-10,10, October ,2014,2014,1,Jan,Q1,-1.05,5.0,101.05,🔴 Negativa (<0%)
Enterprise,France, Paseo , Medium , $704.00 ,10.0,125.0,88000.0,4400.0,83600.0,84480.0,-880.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,-1.05,5.0,101.05,🔴 Negativa (<0%)
Government,Canada, Paseo , Medium ," $1,802.00 ",10.0,20.0,36040.0,1802.0,34238.0,18020.0,16218.0,2013-01-12,12, December ,2013,2013,1,Jan,Q1,47.37,5.0,52.63,🟢 Alta (>30%)
Government,United States of America, Paseo , Medium ," $2,663.00 ",10.0,20.0,53260.0,2663.0,50597.0,26630.0,23967.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,47.37,5.0,52.63,🟢 Alta (>30%)
Government,France, Paseo , Medium ," $2,136.00 ",10.0,7.0,14952.0,747.6,14204.4,10680.0,3524.4,2013-01-12,12, December ,2013,2013,1,Jan,Q1,24.81,5.0,75.19,🟡 Media (15-30%)
